exp,method,benchmark,seed,final_regret,n_iters,distinct_regret,incumbent_improved,final_cost,lf_fraction,path
ko_mes_paper,Additive-MES-Song,Currin_2D,46,2.870339426131915,300,1,,300.0,1.0,results/ko_mes_paper/checkpoints/Additive-MES-Song__Currin_2D__seed46.json
ko_mes_paper,Additive-MES-Song,Hartmann_6D,42,2.015001965017962,800,1,,800.0,1.0,results/ko_mes_paper/checkpoints/Additive-MES-Song__Hartmann_6D__seed42.json
ko_mes_paper,Additive-MES-Song,Hartmann_6D,43,2.1371072994442226,772,2,,800.0,0.9948186528497409,results/ko_mes_paper/checkpoints/Additive-MES-Song__Hartmann_6D__seed43.json
ko_mes_paper,Additive-MES-Song,Hartmann_6D,44,2.0369702511062613,793,1,,800.0,0.9987389659520807,results/ko_mes_paper/checkpoints/Additive-MES-Song__Hartmann_6D__seed44.json
ko_mes_paper,Additive-MES-Song,Hartmann_6D,45,2.221369157833541,793,1,,800.0,0.9987389659520807,results/ko_mes_paper/checkpoints/Additive-MES-Song__Hartmann_6D__seed45.json
ko_mes_paper,Additive-MES-Song,Hartmann_6D,46,2.5273762963061968,723,3,,800.0,0.9847856154910097,results/ko_mes_paper/checkpoints/Additive-MES-Song__Hartmann_6D__seed46.json
ko_mes_paper,Additive-MES,Borehole_8D,42,34.27941359477762,152,3,,200.0,0.6842105263157895,results/ko_mes_paper/checkpoints/Additive-MES__Borehole_8D__seed42.json
ko_mes_paper,Additive-MES,Borehole_8D,43,49.32300837937919,147,6,,200.0,0.6394557823129252,results/ko_mes_paper/checkpoints/Additive-MES__Borehole_8D__seed43.json
ko_mes_paper,Additive-MES,Borehole_8D,44,50.63721503640494,156,2,,200.0,0.717948717948718,results/ko_mes_paper/checkpoints/Additive-MES__Borehole_8D__seed44.json
ko_mes_paper,Additive-MES,Borehole_8D,45,48.79444513976517,155,4,,200.0,0.7096774193548387,results/ko_mes_paper/checkpoints/Additive-MES__Borehole_8D__seed45.json
ko_mes_paper,Additive-MES,Borehole_8D,46,46.05837429326277,150,3,,200.0,0.6666666666666666,results/ko_mes_paper/checkpoints/Additive-MES__Borehole_8D__seed46.json
ko_mes_paper,Additive-MES,Currin_2D,42,0.00825300069942081,258,12,,300.0,0.9186046511627907,results/ko_mes_paper/checkpoints/Additive-MES__Currin_2D__seed42.json
ko_mes_paper,Additive-MES,Currin_2D,43,0.0013768989655318364,262,9,,300.0,0.9274809160305344,results/ko_mes_paper/checkpoints/Additive-MES__Currin_2D__seed43.json
ko_mes_paper,Additive-MES,Currin_2D,44,0.00016750522622821507,248,7,,300.0,0.8951612903225806,results/ko_mes_paper/checkpoints/Additive-MES__Currin_2D__seed44.json
ko_mes_paper,Additive-MES,Currin_2D,45,0.00021343155125030933,248,4,,300.0,0.8951612903225806,results/ko_mes_paper/checkpoints/Additive-MES__Currin_2D__seed45.json
ko_mes_paper,Additive-MES,Currin_2D,46,0.0001891844958290534,198,8,,300.0,0.7424242424242424,results/ko_mes_paper/checkpoints/Additive-MES__Currin_2D__seed46.json
ko_mes_paper,Additive-MES,Hartmann_6D,42,0.2777454458519699,305,6,,802.0,0.7672131147540984,results/ko_mes_paper/checkpoints/Additive-MES__Hartmann_6D__seed42.json
ko_mes_paper,Additive-MES,Hartmann_6D,43,0.34237594029703633,337,3,,806.0,0.8011869436201781,results/ko_mes_paper/checkpoints/Additive-MES__Hartmann_6D__seed43.json
ko_mes_paper,Additive-MES,Hartmann_6D,44,0.3409316109653928,283,8,,801.0,0.7385159010600707,results/ko_mes_paper/checkpoints/Additive-MES__Hartmann_6D__seed44.json
ko_mes_paper,Additive-MES,Hartmann_6D,45,0.3287802968093363,276,7,,801.0,0.7282608695652174,results/ko_mes_paper/checkpoints/Additive-MES__Hartmann_6D__seed45.json
ko_mes_paper,Additive-MES,Hartmann_6D,46,0.36952809481258253,256,7,,802.0,0.6953125,results/ko_mes_paper/checkpoints/Additive-MES__Hartmann_6D__seed46.json
ko_mes_paper,KO-MES,Borehole_8D,42,54.0395317102122,145,3,,200.0,0.6206896551724138,results/ko_mes_paper/checkpoints/KO-MES__Borehole_8D__seed42.json
ko_mes_paper,KO-MES,Borehole_8D,43,41.75540017529306,150,4,,200.0,0.6666666666666666,results/ko_mes_paper/checkpoints/KO-MES__Borehole_8D__seed43.json
ko_mes_paper,KO-MES,Borehole_8D,44,50.63721503640494,157,2,,200.0,0.7261146496815286,results/ko_mes_paper/checkpoints/KO-MES__Borehole_8D__seed44.json
ko_mes_paper,KO-MES,Borehole_8D,45,39.354096413493494,153,4,,200.0,0.6928104575163399,results/ko_mes_paper/checkpoints/KO-MES__Borehole_8D__seed45.json
ko_mes_paper,KO-MES,Borehole_8D,46,46.05837429326277,151,3,,200.0,0.6754966887417219,results/ko_mes_paper/checkpoints/KO-MES__Borehole_8D__seed46.json
ko_mes_paper,KO-MES,Currin_2D,42,0.008393163849016005,250,11,,300.0,0.9,results/ko_mes_paper/checkpoints/KO-MES__Currin_2D__seed42.json
ko_mes_paper,KO-MES,Currin_2D,43,0.000885961826924131,248,9,,300.0,0.8951612903225806,results/ko_mes_paper/checkpoints/KO-MES__Currin_2D__seed43.json
ko_mes_paper,KO-MES,Currin_2D,44,6.760955884033137e-08,190,15,,300.0,0.7105263157894737,results/ko_mes_paper/checkpoints/KO-MES__Currin_2D__seed44.json
ko_mes_paper,KO-MES,Currin_2D,45,3.9501818461573635e-05,248,8,,300.0,0.8951612903225806,results/ko_mes_paper/checkpoints/KO-MES__Currin_2D__seed45.json
